name,type,lat,lng
ชุมชนปากคลองต้นไทร,ชุมชนแออัด,13.718639378135588,100.50963615105816
ชุมชนหลังตลาดเจริญนคร,ชุมชนแออัด,13.708742169739429,100.49963900467229
ชุมชนคลองพระยาเกษม,ชุมชนแออัด,13.714200593944236,100.50173143905984
ชุมชนซอยเกษมใหม่,ชุมชนแออัด,13.712331997966551,100.49795592735794
ชุมชนวัดสังฆราชา,ชุมชนชานเมือง,13.725364803563211,100.73767971510338
ชุมชนร่วมใจพัฒนา,ชุมชนชานเมือง,13.725874556669055,100.7564428464369
ชุมชนศีลาภิรัตอุปถัมภ์,ชุมชนชานเมือง,13.730728417758993,100.74738718883815
ชุมชนบึงบัว,ชุมชนชานเมือง,13.766122049361696,100.777806478563
ชุมชนมาเรียลัย,ชุมชนชานเมือง,13.723061435484276,100.79591652966462
ชุมชนหลวงพรต-ท่านเลี่ยม,ชุมชนชานเมือง,13.725638720105835,100.78428187903685
ชุมชนคลองตะโหนด,ชุมชนชานเมือง,13.810249432122884,100.75880071114328
ชุมชนสามัคคีคลองสองต้นนุ่น,ชุมชนชานเมือง,13.8064571475501,100.73059019461498
ชุมชนหมู่บ้านปรีชา  11,ชุมชนหมู่บ้านจัดสรร,13.813497223481296,100.71299211672678
ชุมชนนูรุ้ลพัฒนา,ชุมชนชานเมือง,13.774017268201083,100.73983488127257
ชุมชนบางชันพัฒนา,ชุมชนชานเมือง,13.805541745431427,100.70263794635422
ชุมชนโครงการร่วมกันสร้าง,ชุมชนเมือง,13.789056715586508,100.62998891143528
ชุมชนวัดกลาง,ชุมชนเมือง,13.766403044931034,100.63479831021786
ชุมชนแผ่นดินทองวัดแสนเกษม,ชุมชนชานเมือง,13.92035812760948,100.89281390077315
ชุมชนแผ่นดินทองวัดลำพะอง,ชุมชนชานเมือง,13.768546327013,100.83696034344969
ชุมชนแผ่นดินทองนูรุสลาม,ชุมชนชานเมือง,13.851713156689739,100.81876280355473
ชุมชนแผ่นดินทองซอลีฮุ้ลมุสลีมีน,ชุมชนชานเมือง,13.81887911852225,100.84868252107148
ชุมชนหมู่บ้านอยู่สบาย,ชุมชนหมู่บ้านจัดสรร,13.743328905429756,100.65193464878406
ชุมชนหมู่บ้านตวงทอง,ชุมชนหมู่บ้านจัดสรร,13.69386996735487,100.43581149786658
ชุมชนหลังวัดคูหาสวรรค์,ชุมชนแออัด,13.733445949259409,100.4617588666409
ชุมชนเทพประทาน,ชุมชนแออัด,13.727704476815093,100.42936582476322
ชุมชนวัดจันทร์ประดิษฐาราม เขต 5,ชุมชนแออัด,13.71956955417901,100.44128714489206
